"nameorig","namedest","type","total_fraud_amount","fraud_rank"
"C1004068843","C2116384638","TRANSFER","10000000","1"
"C1014298205","C668046170","TRANSFER","10000000","2"
"C1016892734","C634337503","CASH_OUT","10000000","3"
"C1028530067","C1390461904","TRANSFER","10000000","4"
"C1036572575","C469591174","CASH_OUT","10000000","5"
"C1041060645","C1784785490","CASH_OUT","10000000","6"
"C1045409609","C399450397","TRANSFER","10000000","7"
"C1046281837","C193638063","CASH_OUT","10000000","8"
"C1049094143","C1023840891","CASH_OUT","10000000","9"
"C1057439889","C1973915590","TRANSFER","10000000","10"
"C1058583308","C2061400193","TRANSFER","10000000","11"
"C1066838925","C1265892323","CASH_OUT","10000000","12"
"C1074619527","C1334434319","TRANSFER","10000000","13"
"C1079335762","C615227407","CASH_OUT","10000000","14"
"C1086171385","C1542053333","CASH_OUT","10000000","15"
"C108630257","C1865083017","TRANSFER","10000000","16"
"C1096385925","C1423246212","CASH_OUT","10000000","17"
"C1102554601","C335271811","TRANSFER","10000000","18"
"C1110953726","C531811781","TRANSFER","10000000","19"
"C1111699947","C949015157","TRANSFER","10000000","20"
"C1122738410","C875530566","CASH_OUT","10000000","21"
"C1131684691","C1143448210","TRANSFER","10000000","22"
"C1162717928","C2053317483","CASH_OUT","10000000","23"
"C1174163617","C1917566425","CASH_OUT","10000000","24"
"C1178177971","C1773776028","CASH_OUT","10000000","25"
"C1179529142","C2073831661","TRANSFER","10000000","26"
"C1180822515","C758711155","CASH_OUT","10000000","27"
"C1186192171","C2136471075","TRANSFER","10000000","28"
"C1198427314","C532935388","TRANSFER","10000000","29"
"C1208192074","C255905586","TRANSFER","10000000","30"
"C1214015158","C2110157840","CASH_OUT","10000000","31"
"C122340101","C1220405366","CASH_OUT","10000000","32"
"C1237313447","C1468356154","TRANSFER","10000000","33"
"C124022062","C2049633025","TRANSFER","10000000","34"
"C1251439451","C290459952","CASH_OUT","10000000","35"
"C1255348086","C103172881","TRANSFER","10000000","36"
"C127338416","C10331994","TRANSFER","10000000","37"
"C1274141620","C743250798","CASH_OUT","10000000","38"
"C1274910960","C1270029603","TRANSFER","10000000","39"
"C1277761503","C500987951","TRANSFER","10000000","40"
"C1278796725","C417213297","CASH_OUT","10000000","41"
"C1291955358","C285979005","TRANSFER","10000000","42"
"C1295280435","C36989160","TRANSFER","10000000","43"
"C1299526002","C1744662180","CASH_OUT","10000000","44"
"C130070267","C970791522","TRANSFER","10000000","45"
"C131412689","C1846567377","TRANSFER","10000000","46"
"C131420902","C635621973","CASH_OUT","10000000","47"
"C1321526330","C120368346","CASH_OUT","10000000","48"
"C1348396248","C1954217280","CASH_OUT","10000000","49"
"C1351320610","C1808132497","TRANSFER","10000000","50"
"C1381373082","C607131381","CASH_OUT","10000000","51"
"C138482312","C1166027089","CASH_OUT","10000000","52"
"C1386014813","C407821637","TRANSFER","10000000","53"
"C1396564541","C129828249","TRANSFER","10000000","54"
"C1421664654","C1036214683","TRANSFER","10000000","55"
"C14368419","C1000868784","TRANSFER","10000000","56"
"C1438388258","C1089455271","CASH_OUT","10000000","57"
"C1439740840","C875288652","TRANSFER","10000000","58"
"C1440908860","C1590217660","CASH_OUT","10000000","59"
"C1460810398","C725953073","CASH_OUT","10000000","60"
"C1474911553","C503835851","CASH_OUT","10000000","61"
"C14856404","C308220962","CASH_OUT","10000000","62"
"C1499124218","C430952051","TRANSFER","10000000","63"
"C1505056771","C1036108574","CASH_OUT","10000000","64"
"C150617765","C1641778666","TRANSFER","10000000","65"
"C1507276112","C1441560807","CASH_OUT","10000000","66"
"C1519426085","C1185086386","TRANSFER","10000000","67"
"C1530285171","C705319954","TRANSFER","10000000","68"
"C1531278091","C972530514","TRANSFER","10000000","69"
"C1551381510","C1042012237","TRANSFER","10000000","70"
"C1552522980","C2104816494","CASH_OUT","10000000","71"
"C1559534298","C1910926478","TRANSFER","10000000","72"
"C1562962865","C964933148","TRANSFER","10000000","73"
"C1577275521","C57886357","CASH_OUT","10000000","74"
"C1577276514","C1370100102","CASH_OUT","10000000","75"
"C1577486244","C6676578","TRANSFER","10000000","76"
"C1583037289","C368640357","CASH_OUT","10000000","77"
"C1596180537","C2105645265","CASH_OUT","10000000","78"
"C1607380762","C1683234279","TRANSFER","10000000","79"
"C1612182760","C455244250","TRANSFER","10000000","80"
"C1619838170","C1934167334","TRANSFER","10000000","81"
"C1647199421","C2077145577","CASH_OUT","10000000","82"
"C165107915","C265818322","CASH_OUT","10000000","83"
"C1660275627","C851819118","TRANSFER","10000000","84"
"C1666917384","C779798347","CASH_OUT","10000000","85"
"C1668034607","C1250722530","CASH_OUT","10000000","86"
"C1677039996","C454550281","CASH_OUT","10000000","87"
"C1693784348","C890563348","CASH_OUT","10000000","88"
"C1700232450","C125311108","CASH_OUT","10000000","89"
"C1709472240","C225746427","TRANSFER","10000000","90"
"C1713766678","C499919262","TRANSFER","10000000","91"
"C1721880478","C521374455","TRANSFER","10000000","92"
"C1723333662","C1093911640","CASH_OUT","10000000","93"
"C1729268548","C1519453344","TRANSFER","10000000","94"
"C1734365365","C1564795146","TRANSFER","10000000","95"
"C1749184895","C1827220106","TRANSFER","10000000","96"
"C1751546135","C296834383","CASH_OUT","10000000","97"
"C1756917426","C1192036077","TRANSFER","10000000","98"
"C1764331146","C458755308","TRANSFER","10000000","99"
"C1790027985","C243227440","CASH_OUT","10000000","100"
"C1790414268","C1595458981","CASH_OUT","10000000","101"
"C179123496","C150091086","CASH_OUT","10000000","102"
"C1795726585","C912767355","CASH_OUT","10000000","103"
"C179802055","C845099418","TRANSFER","10000000","104"
"C1799904347","C1817199105","TRANSFER","10000000","105"
"C1800046297","C125702772","TRANSFER","10000000","106"
"C180127057","C2029456603","TRANSFER","10000000","107"
"C1802427135","C1072055067","TRANSFER","10000000","108"
"C1807237119","C1910239392","TRANSFER","10000000","109"
"C1814200711","C270577353","CASH_OUT","10000000","110"
"C1817868641","C919151595","TRANSFER","10000000","111"
"C1842402025","C1291939349","CASH_OUT","10000000","112"
"C1843531771","C632110164","TRANSFER","10000000","113"
"C1849235881","C1877706055","TRANSFER","10000000","114"
"C1853514800","C591314687","CASH_OUT","10000000","115"
"C1855594531","C301687974","CASH_OUT","10000000","116"
"C1868631555","C1100933050","CASH_OUT","10000000","117"
"C1874951604","C72573471","TRANSFER","10000000","118"
"C1877358148","C709815552","CASH_OUT","10000000","119"
"C1879989290","C1527777046","CASH_OUT","10000000","120"
"C1889901787","C1023006881","TRANSFER","10000000","121"
"C1891630790","C2124431731","TRANSFER","10000000","122"
"C1896858408","C952858643","CASH_OUT","10000000","123"
"C19004745","C1806199534","TRANSFER","10000000","124"
"C1919400809","C1527429194","CASH_OUT","10000000","125"
"C1926590870","C454462706","TRANSFER","10000000","126"
"C1930318116","C1923492040","TRANSFER","10000000","127"
"C1936484732","C1554273675","TRANSFER","10000000","128"
"C1945606464","C625944676","TRANSFER","10000000","129"
"C1952386173","C1054420449","CASH_OUT","10000000","130"
"C1979114980","C617558864","TRANSFER","10000000","131"
"C1979558927","C678340768","CASH_OUT","10000000","132"
"C1981814103","C1037865562","CASH_OUT","10000000","133"
"C1989519123","C196714546","TRANSFER","10000000","134"
"C200219666","C2086144828","TRANSFER","10000000","135"
"C2018514833","C784234900","TRANSFER","10000000","136"
"C2022162818","C1201081149","CASH_OUT","10000000","137"
"C2023224715","C1730830963","TRANSFER","10000000","138"
"C2029948339","C120055626","CASH_OUT","10000000","139"
"C2037423136","C1464217009","CASH_OUT","10000000","140"
"C2037845109","C666339947","TRANSFER","10000000","141"
"C2038780073","C1355993578","CASH_OUT","10000000","142"
"C2039632835","C1012340770","CASH_OUT","10000000","143"
"C2046014385","C97016938","TRANSFER","10000000","144"
"C2048555739","C180656543","CASH_OUT","10000000","145"
"C2050703310","C1622860679","CASH_OUT","10000000","146"
"C2062481561","C935919630","TRANSFER","10000000","147"
"C2062946234","C2129872070","CASH_OUT","10000000","148"
"C2064974440","C184545705","CASH_OUT","10000000","149"
"C2065498878","C502437065","CASH_OUT","10000000","150"
"C2068007279","C836488544","CASH_OUT","10000000","151"
"C2070647495","C1808278362","TRANSFER","10000000","152"
"C2071282373","C803763593","CASH_OUT","10000000","153"
"C2071602509","C39886288","TRANSFER","10000000","154"
"C2074382913","C48227187","TRANSFER","10000000","155"
"C2085303535","C1010370571","TRANSFER","10000000","156"
"C2087654131","C476523986","TRANSFER","10000000","157"
"C2099141021","C1733297456","TRANSFER","10000000","158"
"C2099173172","C497323053","CASH_OUT","10000000","159"
"C210168934","C1856701476","CASH_OUT","10000000","160"
"C2103234501","C667895388","TRANSFER","10000000","161"
"C211624085","C242007270","CASH_OUT","10000000","162"
"C2129111288","C503344531","CASH_OUT","10000000","163"
"C2140038573","C1395467927","TRANSFER","10000000","164"
"C217654973","C167868594","TRANSFER","10000000","165"
"C220809630","C1161159002","CASH_OUT","10000000","166"
